,name,party,chamber,text,score_pattern,score_vader
98,Garret Graves,R,house,It is important that I hear everyone's priorities before we go back into session in September.,0.2,0.2023
99,Ileana Ros-Lehtinen,R,house,"This too shall pass. I'm sure we will have power soon. I worry abt others not as fortunate as Dexter and I who are in hot apartments, alone https://twitter.com/davidsaulacosta/status/908859304433930242 QT @davidsaulacosta @RosLehtinen @insideFPL Still with no power? Praying for you!",0.404166666667,-0.1192
100,Garret Graves,R,house,We need pro-growth tax reform.  Here’s how we make it happen → https://fairandsimple.gop/?utm_source=repgarretgraves,0.0,0.0
101,Alcee Hastings,D,house,Up to date information on Broward shelters: http://www.broward.org/hurricane/Pages/Default.aspx,0.0,0.0
102,Mike Rounds,R,senate,"Thank you, @SecretarySonny, for opening up additional SD counties for emergency CRP grazing. Full announcement: https://www.fsa.usda.gov/news-room/news-releases/2017/nr_20170629_rel_0068",0.35,-0.0258
103,Roger Wicker,R,senate,The @USNavy is one step closer to #355Ships. My SHIPS Act was incorporated into this year’s NDAA. https://goo.gl/XrkZsd,0.0,0.0
104,Nita Lowey,D,house,What will it take for us to embrace our responsibility to act? #LasVegas https://lowey.house.gov/media-center/press-releases/lowey-statement-las-vegas-shooting,0.0,0.3182
105,Debbie Stabenow,D,senate,RT @FamiliesUSA This fight is about the woman in Michigan who will lose health coverage. #NoHearingNoVote @SenStabenow #protectourcare https://t.co/cDRya8Jxg4,0.0,-0.6486
106,John Culberson,R,house,Please take a moment to read this information from @FEMA about what resources and assistance are available. https://www.facebook.com/CongressmanCulberson/posts/1833199963374982,0.4,0.3182
107,Ben Ray Luján,D,house,"Medicaid=largest payer for long-term care in NM. Senate Trumpcare bill slashes care for seniors/disabled/caregivers
https://t.co/5hZXwp7IG2",0.0,0.6808
108,Brian Mast,R,house,My statement on today's budget vote: https://facebook.com/RepBrianMast/posts/1982380998709343,0.0,0.0
109,Amy Klobuchar,D,senate,Just took to Senate floor to speak out against this. Outrageous. https://t.co/j8F9QJQiBe QT @AP BREAKING: Congressional Budget Office sees 22 million more uninsured by 2026 under Senate health bill in latest hurdle for GOP.,0.0,0.0085
110,Joseph Crowley,D,house,@SenateGOP @POTUS Their lack of ability to provide any substantive ways to improve our health system continues to jeopardize Americans’ access to quality care,0.0,0.7269
111,Eric Swalwell,D,house,Our House Intel Committee in October will hold open hearing w/ tech companies re: Russian efforts to sway election. https://youtu.be/7-qTcXm8tdA,0.0,0.0
112,Lacy Clay,D,house,"Some heroes have four legs, a tail and a wet nose. #MedalofCourage #K-9 Five military dogs receive Medal of Courage http://www.militarytimes.com/news/your-military/2017/10/12/five-military-dogs-receive-medal-of-courage/#.Wd_9UqKdQ3w.twitter",-0.1,0.8625
113,Tammy Baldwin,D,senate,.@OSHA_DOL's inaction is extremely troubling. I am demanding answers. http://www.jsonline.com/story/news/investigations/2017/08/03/wisconsin-barrel-plants-not-inspected-osha/529077001/,-0.125,-0.788
114,Ted Cruz,R,senate,http://pbs.twimg.com/media/DFiAOKtXUAUnFNd.jpg,0.0,0.0
115,Terri Sewell,D,house,"This National #HBCUWeek, I'm meeting directly with faculty and students to hear what Congress can do to strengthen our schools @MilesCollege http://pbs.twimg.com/media/DKCWOBlWAAEHnzl.jpg",0.1,0.3182
116,Kevin Yoder,R,house,"Brooke and I join the nation in praying for John McCain. He's an American hero, role model for all of us in Congress, and he will beat this.",0.0,0.8074
117,Pramila Jayapal,D,house,"In any other administration, this would be unacceptable. Meeting with Russians for intel and trying to cover it up is not normal. https://twitter.com/kylegriffin1/status/884427645995413504 QT @kylegriffin1 Richard Painter, Bush 43 Chief Ethics lawyer, to @MSNBC on the Don Jr. meeting: ""This borders on treason, if this is not treason itself."" http://pbs.twimg.com/ext_tw_video_thumb/884427180687667200/pu/img/Ls5M8SVgJ2Ls4Ple.jpg https://video.twimg.com/ext_tw_video/884427180687667200/pu/pl/GTklomYaCr_5qz8A.m3u8",-0.1,-0.8928
118,David Cicilline,D,house,The #GOPbudget spells the end of Medicare as we know it and guts the program by almost half a trillion dollars.,-0.166666666667,0.0
119,Tom Reed,R,house,"11th day, 11th reason why we need #taxreform http://pbs.twimg.com/media/DG91JXBUQAAZFPm.jpg",0.0,0.0
120,Don Beyer,D,house,RT @JuddLegum This latest plan to repeal Obamacare is MUCH WORSE than the last plan but has a BETTER chance of passing http://goo.gl/6FBcqf,0.15,0.7213
